:Data_list: 20160317_Gp_xr_1m.txt
:Created: 2016 Mar 17 0401 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2016 03 17  0000   57464      0     1.00e-09    2.12e-07
2016 03 17  0001   57464     60     1.00e-09    2.08e-07
2016 03 17  0002   57464    120     1.00e-09    2.08e-07
2016 03 17  0003   57464    180     1.00e-09    2.07e-07
2016 03 17  0004   57464    240     1.00e-09    2.10e-07
2016 03 17  0005   57464    300     1.00e-09    2.12e-07
2016 03 17  0006   57464    360     1.00e-09    2.13e-07
2016 03 17  0007   57464    420     1.00e-09    2.12e-07
2016 03 17  0008   57464    480     1.00e-09    2.11e-07
2016 03 17  0009   57464    540     1.00e-09    2.09e-07
2016 03 17  0010   57464    600     1.00e-09    2.08e-07
2016 03 17  0011   57464    660     1.00e-09    2.08e-07
2016 03 17  0012   57464    720     1.00e-09    2.09e-07
2016 03 17  0013   57464    780     1.00e-09    2.10e-07
2016 03 17  0014   57464    840     1.00e-09    2.10e-07
2016 03 17  0015   57464    900     1.00e-09    2.08e-07
2016 03 17  0016   57464    960     1.00e-09    2.06e-07
2016 03 17  0017   57464   1020     1.00e-09    2.06e-07
2016 03 17  0018   57464   1080     1.00e-09    2.11e-07
2016 03 17  0019   57464   1140     1.00e-09    2.16e-07
2016 03 17  0020   57464   1200     1.00e-09    2.17e-07
2016 03 17  0021   57464   1260     1.00e-09    2.20e-07
2016 03 17  0022   57464   1320     1.00e-09    2.30e-07
2016 03 17  0023   57464   1380     1.00e-09    2.36e-07
2016 03 17  0024   57464   1440     1.00e-09    2.39e-07
2016 03 17  0025   57464   1500     1.00e-09    2.41e-07
2016 03 17  0026   57464   1560     1.00e-09    2.44e-07
2016 03 17  0027   57464   1620     1.00e-09    2.47e-07
2016 03 17  0028   57464   1680     1.00e-09    2.57e-07
2016 03 17  0029   57464   1740     1.00e-09    2.68e-07
2016 03 17  0030   57464   1800     1.00e-09    2.72e-07
2016 03 17  0031   57464   1860     1.00e-09    2.66e-07
2016 03 17  0032   57464   1920     1.00e-09    2.54e-07
2016 03 17  0033   57464   1980     1.00e-09    2.40e-07
2016 03 17  0034   57464   2040     1.00e-09    2.36e-07
2016 03 17  0035   57464   2100     1.00e-09    2.26e-07
2016 03 17  0036   57464   2160     1.00e-09    2.19e-07
